size, test_eye, visual_angle,transient_counts,cdt,mdt,dtstd,key_press_list
4.0,1.0,2.8,18,5.116620302200317,0.8527700503667196,0.21678513116836023,"[1.0754830837249756, 0.8197000026702881, 0.8195180892944336, 0.483234167098999, 1.1476271152496338, 0.7710578441619873]"
2.0,-1.0,1.4,30,9.864010334014893,0.9864010334014892,0.412785053792611,"[0.9075992107391357, 0.8199379444122314, 1.0170278549194336, 1.210456132888794, 0.9636969566345215, 0.6908519268035889, 0.9796791076660156, 0.6995420455932617, 0.49161791801452637, 2.083601236343384]"
0.5,1.0,0.35,21,6.2636871337890625,0.8948124476841518,0.5697763004966707,"[0.5147557258605957, 1.2276341915130615, 0.5225811004638672, 1.1155352592468262, 0.47558021545410156, 2.0591728687286377, 0.34842777252197266]"
0.5,-1.0,0.35,21,14.599445104598999,2.085635014942714,1.094486195079703,"[3.2995057106018066, 3.6913321018218994, 2.8668527603149414, 1.6523487567901611, 1.275120735168457, 1.1317470073699951, 0.6825380325317383]"
1.0,-1.0,0.7,24,13.388209104537964,1.6735261380672455,1.0691380333209495,"[2.8194711208343506, 2.211477041244507, 1.6439428329467773, 0.8275840282440186, 2.3397200107574463, 0.27604198455810547, 3.1225390434265137, 0.14743304252624512]"
4.0,-1.0,2.8,12,6.078761100769043,1.5196902751922607,0.838264635851004,"[1.0446257591247559, 2.7790911197662354, 0.539567232131958, 1.7154769897460938]"
1.0,1.0,0.7,21,7.360828638076782,1.0515469482966833,0.7569982004154265,"[0.987083911895752, 0.8673732280731201, 0.20388102531433105, 0.7704808712005615, 1.2689237594604492, 2.7396199703216553, 0.5234658718109131]"
2.0,1.0,1.4,27,7.357800722122192,0.8175334135691324,0.2579956612812659,"[1.1072380542755127, 1.2996559143066406, 0.9957749843597412, 0.7877898216247559, 0.6723301410675049, 0.39537787437438965, 0.6357331275939941, 0.6930229663848877, 0.7708778381347656]"
1.5,-1.0,1.05,30,14.116353988647461,1.411635398864746,0.8850748123449154,"[0.579505205154419, 2.075666904449463, 0.8998489379882812, 0.7475180625915527, 2.667501926422119, 1.523118257522583, 1.755650281906128, 2.956019401550293, 0.2598860263824463, 0.6516389846801758]"
1.5,1.0,1.05,24,7.051542282104492,0.8814427852630615,0.31066353841410305,"[1.218945026397705, 1.4592390060424805, 1.044219732284546, 0.6912729740142822, 0.7232491970062256, 0.8114969730377197, 0.635566234588623, 0.46755313873291016]"
