size, test_eye, visual_angle,transient_counts,cdt,mdt,dtstd,key_press_list
1.0,1.0,0.7,0,0.0,0.0,0.0,[]
4.0,1.0,2.8,9,9.690863132476807,3.230287710825602,1.8851280753108497,"[2.9479291439056396, 5.6672821044921875, 1.0756518840789795]"
0.5,-1.0,0.35,9,8.192288398742676,2.730762799580892,1.6685878612553613,"[5.067188024520874, 1.2759912014007568, 1.849109172821045]"
2.0,1.0,1.4,15,10.745316743850708,2.1490633487701416,0.7370511721211724,"[2.3075368404388428, 2.9791369438171387, 1.3072309494018555, 1.2748808860778809, 2.8765311241149902]"
2.0,-1.0,1.4,15,11.018554210662842,2.203710842132568,1.597978404761017,"[1.771860122680664, 1.7874479293823242, 5.1078667640686035, 0.21129131317138672, 2.1400880813598633]"
1.5,-1.0,1.05,12,10.531623363494873,2.6329058408737183,1.959597552634307,"[2.0244851112365723, 5.939551115036011, 0.8278310298919678, 1.7397561073303223]"
1.5,1.0,1.05,18,13.974365472793579,2.329060912132263,1.5024556430702518,"[0.9563918113708496, 3.603299856185913, 4.3150269985198975, 0.8275778293609619, 3.5077672004699707, 0.7643017768859863]"
0.5,1.0,0.35,15,10.92397928237915,2.18479585647583,2.467599948004615,"[6.915493965148926, 1.555704116821289, 0.2995738983154297, 0.16563034057617188, 1.987576961517334]"
1.0,-1.0,0.7,18,11.995040893554688,1.9991734822591145,1.0362155027666742,"[0.9558601379394531, 0.5397257804870605, 3.25981068611145, 2.3480052947998047, 3.192173957824707, 1.699465036392212]"
4.0,-1.0,2.8,24,10.196198463439941,1.2745248079299927,0.8397949565545159,"[0.5713841915130615, 1.0189869403839111, 0.6194460391998291, 0.7707509994506836, 2.2767422199249268, 0.7809121608734131, 1.1153991222381592, 3.042576789855957]"
4.0,-1.0,2.8,21,8.854389429092407,1.2649127755846297,0.9174499002850439,"[0.6040346622467041, 1.5475399494171143, 1.1636438369750977, 0.3396270275115967, 0.8399977684020996, 1.0277180671691895, 3.3318281173706055]"
1.5,-1.0,1.05,24,14.093466758728027,1.7616833448410034,1.0949924036766463,"[1.3960082530975342, 2.2431180477142334, 2.6284971237182617, 0.5139939785003662, 1.5986888408660889, 1.18646240234375, 0.5229911804199219, 4.003706932067871]"
4.0,1.0,2.8,15,11.698788404464722,2.3397576808929443,1.618304180730479,"[0.6041619777679443, 3.284776210784912, 0.41965794563293457, 4.651266098022461, 2.7389261722564697]"
0.5,-1.0,0.35,15,10.70589017868042,2.141178035736084,1.3077371700094897,"[1.555649995803833, 3.3075919151306152, 1.3636910915374756, 4.003523111343384, 0.4754340648651123]"
