size, test_eye, visual_angle,transient_counts,cdt,mdt,dtstd,key_press_list
4.0,1.0,2.8,18,18.539603233337402,3.0899338722229004,2.2421775601569727,"[2.2194020748138428, 1.3800089359283447, 2.155747175216675, 7.387483835220337, 0.8499162197113037, 4.547044992446899]"
0.5,1.0,0.35,21,20.730066061019897,2.961438008717128,1.8881418467233964,"[4.419821739196777, 2.2517759799957275, 1.6792030334472656, 1.5634541511535645, 1.0167222023010254, 6.827255010604858, 2.9718339443206787]"
0.5,-1.0,0.35,18,18.9556884765625,3.1592814127604165,3.463049156697779,"[2.2271969318389893, 1.5207221508026123, 3.0668680667877197, 0.3956606388092041, 10.670121908187866, 1.0751187801361084]"
1.0,1.0,0.7,15,25.559935808181763,5.111987161636352,3.800485011006866,"[7.531497240066528, 3.2741408348083496, 2.147599935531616, 11.370914697647095, 1.2357831001281738]"
1.5,1.0,1.05,24,14.048502683639526,1.7560628354549408,1.1060478990429776,"[2.2042629718780518, 1.8464601039886475, 1.1476869583129883, 4.378735780715942, 1.6275370121002197, 0.52376389503479, 1.3644189834594727, 0.9556369781494141]"
1.0,-1.0,0.7,27,17.323448181152344,1.9248275756835938,0.9041249308162319,"[1.6514310836791992, 0.49175214767456055, 3.475152015686035, 1.352236032485962, 2.8919320106506348, 1.363111972808838, 2.1848208904266357, 2.7235589027404785, 1.189453125]"
2.0,1.0,1.4,27,17.33780598640442,1.9264228873782687,1.107126559505542,"[1.548295259475708, 0.6046068668365479, 3.651625871658325, 2.3604180812835693, 0.9877209663391113, 1.891693115234375, 0.7982218265533447, 1.6356768608093262, 3.8595471382141113]"
2.0,-1.0,1.4,30,9.652743339538574,0.9652743339538574,0.46410620900756205,"[0.7236089706420898, 0.372312068939209, 1.0516149997711182, 1.139549970626831, 1.7556979656219482, 1.6522939205169678, 1.0595951080322266, 0.9714930057525635, 0.6828711032867432, 0.24370622634887695]"
4.0,-1.0,2.8,24,9.306378841400146,1.1632973551750183,0.35848235051241933,"[0.8119359016418457, 1.0753231048583984, 0.9077968597412109, 1.3424460887908936, 1.8571720123291016, 0.8484580516815186, 1.555340051651001, 0.9079067707061768]"
1.5,-1.0,1.05,33,19.349050760269165,1.759004614569924,0.7958813220091018,"[2.0837507247924805, 1.659803867340088, 2.8565361499786377, 1.0509140491485596, 1.8675670623779297, 0.2597329616546631, 1.8038430213928223, 2.235522985458374, 2.0358657836914062, 0.6117899417877197, 2.8837242126464844]"
0.5,1.0,0.35,27,17.954574823379517,1.9949527581532795,1.14766172730183,"[2.931529998779297, 4.355819940567017, 1.1479382514953613, 0.979956865310669, 1.299619197845459, 1.9160492420196533, 1.3956570625305176, 0.77976393699646, 3.148240327835083]"
2.0,-1.0,1.4,15,13.625820636749268,2.7251641273498537,1.4960221787490686,"[1.2836520671844482, 4.323340892791748, 0.6278998851776123, 4.0674889087677, 3.323438882827759]"
1.5,-1.0,1.05,27,18.45256519317627,2.05028502146403,1.1752695179885615,"[5.059471130371094, 2.2770068645477295, 0.7158482074737549, 1.7319040298461914, 1.8491849899291992, 0.8838260173797607, 2.0277040004730225, 1.8478820323944092, 2.0597379207611084]"
1.5,1.0,1.05,21,18.739125728607178,2.677017961229597,1.2459347299255568,"[4.61582088470459, 1.3534858226776123, 3.1555070877075195, 1.9075229167938232, 3.9712982177734375, 0.9874899387359619, 2.7480008602142334]"
0.5,-1.0,0.35,18,17.19857954978943,2.866429924964905,1.8640497807700904,"[6.692615747451782, 1.2355999946594238, 1.2356548309326172, 3.3954250812530518, 2.3956940174102783, 2.2435898780822754]"
4.0,1.0,2.8,15,16.62547469139099,3.3250949382781982,2.8340920388903603,"[1.899643898010254, 0.4921867847442627, 2.611801862716675, 2.875307083129883, 8.746535062789917]"
1.0,1.0,0.7,24,19.18620014190674,2.3982750177383423,1.49215788035837,"[4.467285871505737, 3.171783924102783, 2.439580202102661, 0.747664213180542, 0.8120808601379395, 4.755992889404297, 1.6434991359710693, 1.148313045501709]"
1.0,-1.0,0.7,24,16.922435760498047,2.115304470062256,0.7855457358143483,"[1.5167481899261475, 3.71461820602417, 2.091897964477539, 2.9714572429656982, 1.2360289096832275, 2.1637423038482666, 1.5472779273986816, 1.6806650161743164]"
4.0,-1.0,2.8,12,7.585340261459351,1.8963350653648376,0.917471888889688,"[2.0838708877563477, 2.634864091873169, 2.5190341472625732, 0.34757113456726074]"
2.0,1.0,1.4,27,20.265658855438232,2.2517398728264704,0.8860467662825576,"[3.339721202850342, 2.9878647327423096, 2.3799049854278564, 1.5312981605529785, 3.315699815750122, 0.6198289394378662, 2.4753589630126953, 2.3398220539093018, 1.2761600017547607]"
2.0,1.0,1.4,30,18.293111324310303,1.8293111324310303,1.2955016775780783,"[2.3633949756622314, 0.9793298244476318, 4.07567572593689, 1.1746649742126465, 0.6358599662780762, 0.6115849018096924, 4.042906999588013, 0.4036128520965576, 1.5554649829864502, 2.4506161212921143]"
1.0,-1.0,0.7,24,17.58172035217285,2.1977150440216064,0.7315616011967452,"[1.7075090408325195, 2.015834093093872, 1.8994691371917725, 1.7077181339263916, 4.092514991760254, 2.1838080883026123, 1.9955530166625977, 1.979313850402832]"
0.5,1.0,0.35,24,19.8637113571167,2.4829639196395874,2.3531379778119534,"[8.178905010223389, 0.867804765701294, 2.6275100708007812, 0.7657718658447266, 1.6596150398254395, 1.5310912132263184, 3.603684186935425, 0.6293292045593262]"
4.0,-1.0,2.8,21,9.6691415309906,1.3813059329986572,0.659241475961135,"[1.7478151321411133, 2.0914461612701416, 2.1945199966430664, 0.4595482349395752, 1.6802639961242676, 0.7637650966644287, 0.7317829132080078]"
2.0,-1.0,1.4,27,19.774327754974365,2.197147528330485,2.0430560291736217,"[4.547839879989624, 0.3716428279876709, 2.107279062271118, 6.883676052093506, 1.1018052101135254, 2.171739101409912, 0.5038347244262695, 1.0988929271697998, 0.9876179695129395]"
1.5,1.0,1.05,27,20.082557916641235,2.2313953240712485,1.773409197704239,"[4.915678262710571, 0.5125980377197266, 1.2686269283294678, 0.46805787086486816, 4.562979698181152, 0.5716831684112549, 2.827584981918335, 4.127101898193359, 0.8282470703125]"
0.5,-1.0,0.35,27,18.018423318862915,2.0020470354292126,1.8840846611940338,"[4.118077039718628, 5.995913028717041, 1.074963092803955, 1.5873801708221436, 0.7711598873138428, 0.44366908073425293, 0.8280220031738281, 3.1555979251861572, 0.043641090393066406]"
1.0,1.0,0.7,21,21.035295724868774,3.005042246409825,1.611539413014208,"[4.88451623916626, 5.195863962173462, 1.4519071578979492, 3.1795170307159424, 3.7475709915161133, 1.9795279502868652, 0.5963923931121826]"
1.5,-1.0,1.05,15,23.319087743759155,4.663817548751831,4.677494491775704,"[3.499481201171875, 13.595234155654907, 0.2754828929901123, 4.259639263153076, 1.6892502307891846]"
4.0,1.0,2.8,27,10.572776556015015,1.174752950668335,0.7858836666759469,"[0.9637141227722168, 0.5475330352783203, 2.0835280418395996, 1.147745132446289, 1.4117021560668945, 0.4444551467895508, 0.30789995193481445, 2.8544270992279053, 0.8117718696594238]"
