size, test_eye, visual_angle,transient_counts,cdt,mdt,dtstd,key_press_list
1.5,1.0,1.05,15,11.019722938537598,2.2039445877075194,1.7121451221669206,"[1.6070928573608398, 5.474794149398804, 0.41973209381103516, 1.651249885559082, 1.866853952407837]"
1.5,-1.0,1.05,15,10.273617506027222,2.0547235012054443,0.654128841704819,"[1.1955969333648682, 2.4278879165649414, 1.3714420795440674, 2.4030892848968506, 2.875601291656494]"
4.0,-1.0,2.8,12,6.886135101318359,1.7215337753295898,0.7232342774342705,"[1.9234061241149902, 1.0998420715332031, 1.0434980392456055, 2.8193888664245605]"
0.5,1.0,0.35,12,7.25481390953064,1.81370347738266,0.9957393879077309,"[3.507457971572876, 1.5486679077148438, 1.0431270599365234, 1.1555609703063965]"
2.0,1.0,1.4,9,12.401504039764404,4.133834679921468,1.2560069507927667,"[3.8912079334259033, 5.779017925262451, 2.73127818107605]"
4.0,1.0,2.8,12,10.109379529953003,2.5273448824882507,0.566663137357969,"[1.8036909103393555, 3.3882408142089844, 2.387331008911133, 2.5301167964935303]"
1.0,1.0,0.7,18,13.46567440032959,2.244279066721598,1.0160008803503529,"[2.4673500061035156, 0.7076191902160645, 3.116520881652832, 2.351163148880005, 3.6268911361694336, 1.1961300373077393]"
0.5,-1.0,0.35,12,12.259871006011963,3.0649677515029907,1.7363481377656884,"[2.8829898834228516, 1.9071321487426758, 5.947154998779297, 1.5225939750671387]"
1.0,-1.0,0.7,18,8.944027423858643,1.4906712373097737,0.5887770403066743,"[1.971325159072876, 2.277153968811035, 1.4767181873321533, 1.6358370780944824, 0.4513430595397949, 1.1316499710083008]"
2.0,-1.0,1.4,12,5.201266527175903,1.3003166317939758,0.6582346073811314,"[1.0276589393615723, 1.8838369846343994, 0.3480367660522461, 1.9417338371276855]"
1.5,-1.0,1.05,12,10.576794385910034,2.6441985964775085,0.4834672068140697,"[3.2440080642700195, 2.987582206726074, 2.251569986343384, 2.0936341285705566]"
2.0,-1.0,1.4,18,6.026340007781982,1.004390001296997,0.9210192970305878,"[0.4669039249420166, 0.29961395263671875, 0.8116419315338135, 1.09739089012146, 0.37967801094055176, 2.971111297607422]"
0.5,-1.0,0.35,15,14.594642639160156,2.918928527832031,0.35857170911626246,"[3.4115920066833496, 3.2840781211853027, 2.739466905593872, 2.627344846725464, 2.532160758972168]"
0.5,1.0,0.35,12,5.94304347038269,1.4857608675956726,1.2234100485597887,"[0.9716629981994629, 3.579740285873413, 0.483842134475708, 0.9077980518341064]"
4.0,-1.0,2.8,12,4.374711513519287,1.0936778783798218,0.46984266774190664,"[1.0189881324768066, 0.6517281532287598, 0.8282361030578613, 1.8757591247558594]"
1.0,1.0,0.7,21,9.160827159881592,1.3086895942687988,0.5997449479612775,"[1.1157209873199463, 1.6073329448699951, 0.29895997047424316, 0.8838129043579102, 1.5130620002746582, 1.3624053001403809, 2.379533052444458]"
2.0,1.0,1.4,15,7.742157697677612,1.5484315395355224,0.7594322981955801,"[1.176846981048584, 2.7065837383270264, 2.123394012451172, 0.5967130661010742, 1.1386198997497559]"
1.5,1.0,1.05,21,11.47340726852417,1.6390581812177385,1.1176189434642803,"[2.419489860534668, 0.9873759746551514, 3.884361982345581, 1.6673107147216797, 0.25978779792785645, 1.475295066833496, 0.7797858715057373]"
4.0,1.0,2.8,15,8.492207527160645,1.698441505432129,1.637145256988495,"[1.4595990180969238, 0.6595020294189453, 4.9155356884002686, 0.5972158908843994, 0.8603549003601074]"
1.0,-1.0,0.7,15,10.304218530654907,2.0608437061309814,1.688623399793696,"[2.45735502243042, 5.1551148891448975, 1.2427499294281006, 0.3472728729248047, 1.1017258167266846]"
4.0,-1.0,2.8,12,6.205291271209717,1.5513228178024292,0.7351251262987025,"[2.4190661907196045, 0.48334813117980957, 1.2992730140686035, 2.003603935241699]"
2.0,-1.0,1.4,15,13.086329460144043,2.6172658920288088,0.6162892442645003,"[2.2356412410736084, 2.147458076477051, 3.074970006942749, 2.024921178817749, 3.6033389568328857]"
4.0,1.0,2.8,15,10.02725076675415,2.00545015335083,1.5892505287654568,"[4.027676105499268, 0.5040459632873535, 0.8274741172790527, 0.8040893077850342, 3.8639652729034424]"
0.5,-1.0,0.35,9,8.277604103088379,2.7592013676961265,1.4564606496050396,"[4.794520139694214, 1.4676358699798584, 2.0154480934143066]"
1.0,1.0,0.7,18,12.46344542503357,2.0772409041722617,0.9295294737776846,"[3.1227571964263916, 0.5039510726928711, 1.8675191402435303, 1.7785770893096924, 3.283000946044922, 1.907639980316162]"
1.0,-1.0,0.7,21,11.288146257400513,1.6125923224857874,0.9313056207570872,"[0.9956490993499756, 1.5721349716186523, 2.6669631004333496, 2.9487698078155518, 0.1953721046447754, 0.8490011692047119, 2.060256004333496]"
1.5,1.0,1.05,15,14.607887744903564,2.921577548980713,1.4229032526903678,"[5.427447080612183, 1.467641830444336, 3.3710250854492188, 2.6185927391052246, 1.7231810092926025]"
0.5,1.0,0.35,12,6.7515246868133545,1.6878811717033386,0.26017739229428116,"[1.891347885131836, 1.9557766914367676, 1.6046979427337646, 1.2997021675109863]"
1.5,-1.0,1.05,9,7.615629196166992,2.5385430653889975,1.580262675842312,"[1.4916632175445557, 4.771917819976807, 1.3520481586456299]"
2.0,1.0,1.4,15,10.233521223068237,2.0467042446136476,1.4417632190737957,"[2.5643389225006104, 1.8754329681396484, 4.499578237533569, 0.36277008056640625, 0.9314010143280029]"
