size, test_eye, visual_angle,transient_counts,cdt,mdt,dtstd,key_press_list
0.5,-1.0,0.35,21,8.874006986618042,1.2677152838025774,0.7416158950309092,"[1.9101059436798096, 1.1548781394958496, 0.7954180240631104, 1.3954880237579346, 1.0432069301605225, 2.5392510890960693, 0.035658836364746094]"
1.5,1.0,1.05,18,9.112475156784058,1.5187458594640095,0.4024889003512269,"[1.6991698741912842, 1.5796432495117188, 1.293489933013916, 2.2769429683685303, 1.0595791339874268, 1.2036499977111816]"
4.0,-1.0,2.8,12,5.981974124908447,1.4954935312271118,0.17760900369713412,"[1.7473740577697754, 1.3718888759613037, 1.2913010120391846, 1.5714101791381836]"
1.0,-1.0,0.7,30,12.285964012145996,1.2285964012145996,0.41156137862567926,"[1.4675579071044922, 1.3544230461120605, 0.7871038913726807, 0.851003885269165, 2.051866054534912, 0.7955501079559326, 1.1314811706542969, 1.353283166885376, 1.6898229122161865, 0.8038718700408936]"
4.0,1.0,2.8,18,9.109102725982666,1.5181837876637776,0.7224100887038895,"[1.6435267925262451, 1.083857774734497, 1.1088743209838867, 1.0188210010528564, 3.067401885986328, 1.1866209506988525]"
2.0,1.0,1.4,21,12.694271087646484,1.813467298235212,0.9215692244118386,"[1.5395219326019287, 1.3236751556396484, 1.2514848709106445, 0.6596622467041016, 3.4913089275360107, 2.8648838996887207, 1.5637340545654297]"
1.0,1.0,0.7,24,13.376100063323975,1.6720125079154968,0.5068391964471654,"[2.1327779293060303, 1.8494791984558105, 2.271169900894165, 1.1874377727508545, 0.915632963180542, 2.147930145263672, 1.8278310298919678, 1.0438411235809326]"
0.5,1.0,0.35,24,11.597092628479004,1.4496365785598755,0.3140265102919308,"[1.2118499279022217, 1.387815237045288, 1.45975923538208, 1.4118120670318604, 1.8913719654083252, 1.1560630798339844, 1.0757231712341309, 2.0026979446411133]"
1.5,-1.0,1.05,18,12.382192134857178,2.063698689142863,0.6379477973788864,"[1.3956270217895508, 1.7877402305603027, 2.8672211170196533, 2.108607053756714, 1.3155219554901123, 2.9074747562408447]"
2.0,-1.0,1.4,21,13.121368169784546,1.874481167112078,0.7350580910816987,"[1.6594698429107666, 1.6194438934326172, 1.2749931812286377, 3.4835262298583984, 1.5875060558319092, 1.1967411041259766, 2.2996878623962402]"
