size, test_eye, visual_angle,transient_counts,cdt,mdt,dtstd,key_press_list
1.5,1.0,1.05,18,7.922337532043457,1.3203895886739094,0.6697481488985779,"[2.0266880989074707, 1.6351509094238281, 1.0987467765808105, 0.6436009407043457, 2.1475448608398438, 0.3706059455871582]"
0.5,1.0,0.35,18,9.777220249176025,1.6295367081960042,0.7800948690015413,"[0.5148859024047852, 3.1228108406066895, 1.6354069709777832, 1.6887133121490479, 1.2114670276641846, 1.6039361953735352]"
1.5,-1.0,1.05,9,6.713777303695679,2.2379257678985596,0.5225875453648022,"[1.4995532035827637, 2.5797061920166016, 2.6345179080963135]"
4.0,1.0,2.8,18,6.694174766540527,1.1156957944234211,0.5118407205768616,"[0.7076599597930908, 0.315885066986084, 0.8996601104736328, 1.7559528350830078, 1.4754118919372559, 1.539604902267456]"
2.0,1.0,1.4,15,5.711911916732788,1.1423823833465576,0.7690451029053887,"[0.7650327682495117, 1.3642759323120117, 0.7793691158294678, 2.519503116607666, 0.28373098373413086]"
2.0,-1.0,1.4,18,5.959049701690674,0.9931749502817789,0.8729513920375032,"[0.6437630653381348, 0.9331300258636475, 0.3637509346008301, 0.531048059463501, 2.907792806625366, 0.5795648097991943]"
4.0,-1.0,2.8,18,5.284923791885376,0.880820631980896,0.440123042493454,"[1.510650873184204, 1.3156778812408447, 0.7396440505981445, 0.9716401100158691, 0.24355792999267578, 0.5037529468536377]"
0.5,-1.0,0.35,27,8.913069009780884,0.9903410010867648,0.6733676546979298,"[1.019514799118042, 0.8673689365386963, 0.803807258605957, 1.2436308860778809, 0.2518939971923828, 1.555962085723877, 0.348193883895874, 2.4915831089019775, 0.3311140537261963]"
1.0,1.0,0.7,18,8.071969032287598,1.3453281720479329,0.8449097009372373,"[2.09210205078125, 0.2992839813232422, 2.3598690032958984, 0.8489370346069336, 0.4198911190032959, 2.0518858432769775]"
1.0,-1.0,0.7,18,7.596181631088257,1.2660302718480427,0.8405776357308063,"[1.0265159606933594, 2.923530101776123, 0.6116800308227539, 0.9156391620635986, 1.6912381649017334, 0.4275782108306885]"
0.5,-1.0,0.35,21,7.150118589401245,1.0214455127716064,0.6821937465572477,"[1.6905772686004639, 0.24347329139709473, 1.1066389083862305, 2.2912702560424805, 0.6913769245147705, 0.7314000129699707, 0.3953819274902344]"
1.5,1.0,1.05,15,7.600766897201538,1.5201533794403077,0.9576558125059521,"[2.419757127761841, 0.7708661556243896, 2.9315757751464844, 0.6994240283966064, 0.7791438102722168]"
4.0,-1.0,2.8,15,2.5377180576324463,0.5075436115264893,0.26376824055491016,"[0.5475878715515137, 0.13981890678405762, 0.9154641628265381, 0.6113419532775879, 0.323505163192749]"
2.0,-1.0,1.4,18,4.16316294670105,0.6938604911168417,0.37342155050587694,"[0.6720941066741943, 1.3642120361328125, 0.2760190963745117, 0.7157552242279053, 0.26768040657043457, 0.8674020767211914]"
